sku_base,cols_sz
05070660,"Grey marl#812#S,M|Beige marl#720#S,M,L,XL|Light sand#752#S,M,L,XL"
08073259,"camel#704#XS,S,M"
03046328,"Black#800#XS,L,XL|Beige#450#S,M,L,XL|Ecru#712#XS,S,M,L"
08073270,Leopard#051#M
03046060,"Black#800#XS,S,M"
02753334,Black#800#L
03046274,"Grey#802#XS,S,M,L|Ecru#712#XS,S,M,L"
07484522,"Black#800#XS,S,M,XL"
03046028,"Beige#710#XS,S,M"
09575985,Black#800#M
04174866,"Dark grey#922#S,M,L|Black#800#S,M,L|Ice#805#S,M,L"
08073227,"Black#800#XS,S,M"
04341763,"Grey green#916#XS,S,M,L"
02193105,"Multicoloured#330#XS,S,M,L,XL"
09646606,"Black#800#S,M"
05584656,Black#800#L
00264737,"Black#800#S,XL|Burgundy#681#S,M"
05584694,Black#800#S
08741261,"Black#800#S,M"
09857071,"Green / Grass#550#XS,S,M,L"
00387157,"Black#800#XS,S,M"
09216240,Ecru / Black#070#XL
05039408,"Black / Sand#085#S,M"
03300542,Oyster-white#251#M
08949179,"Multicoloured#330#XS,S,L"
09977185,"Black#800#XS,S,M"
09799617,"Dark red#641#XS,S,M,L,XL"
05039807,"Brown#700#S,L"
08815399,Aubergine#610#M
08611459,"Light burgundy#685#XS|Ecru#712#XS,XL|Black#800#XS,S"
02016782,"Black#800#XS,S"
02045100,Burgundy#681#M
05029158,"Raspberry#671#XS,S,M,L"
09196070,"Brown#700#XS,S,L"
09146092,Red#600#L
09483262,"Black#800#XS,S"
08741076,"Black#800#XS,S,M,XL"
05584675,"Black#800#S,M"
09649617,"Black#800#S,M,L"
03067390,"Dark brown#716#XS,S,M,L"
05029163,Ecru#712#S
04770669,"Black#800#S,M|Chocolate#717#S,M"
00858464,"Black#800#S,M,L|Brown#700#S,M,L|Burgundy#606#S,M"
05584671,"Ecru#712#M|Black#800#S,M|Lime#520#S,L"
09935279,"Multicoloured#330#XS,S"
09745628,Silver#808#S
02180258,"Tobacco#705#XS,S,M"
08452662,Silver#808#S
08227214,Ecru#712#S
03666175,Multicoloured#330#L
05039626,"Mid-green#527#S|Brown#700#L|Black#800#S,M,L"
03152304,"Maroon#791#XS,S,M,L,XL"
02183246,"Black#800#S,M,L,XL"
05644995,"Dark brown#716#S|Black#800#S,M"
04764282,"Black#800#XS,M"
03067290,"Black#800#XS,S,M,L,XL"
02017572,"Bottle green#501#XS,S,L"
09228617,"Pale pink#622#XS,S,M"
09953617,"Black#800#XS,S"
09280071,Midnight blue#490#S
02298654,Ecru#712#M
03152243,"Dark brown#716#XS,S"
05039802,Green#500#M
06962231,"Anthracite grey#807#S,L,XL"
04174670,"Charcoal#822#XS,M,L|Chalk pink#626#S"
09315118,"Bluish#920#XS,M,L,XL"
02678246,"Grey marl#803#XS,S,M,L,XL"
02731297,"Black#800#XS,S,M,L"
00264736,"Russet#670#S,M,L"
03471108,GREEN#914#M
08741267,"Red#600#XS,S,M"
05536165,Stripes#105#S
09305252,Ecru / Green#069#XS
09189133,"Black / White#084#XS,S,M,L,XL"
09121262,"Black#800#XS,S,M,L,XL"
08922366,"Cobalt#829#XS,S,M,XL"
03067251,"Dark orange#642#XS,S,M,L"
03067253,"Dark tan#709#XS,S,M,L,XL"
03046323,"Aubergine#610#XS,S,M,XL"
05063848,"Chocolate#717#S,M,L"
05029159,"Multicoloured#330#XS,M"
00779064,"Blue#400#XS,S"
03152222,"Black#800#XS,S,M,L"
04938112,Brown#700#S
09662617,"Black#800#S,M|Blue green#903#L"
09927617,Dark khaki#507#S
09645609,"Black#800#XS,S,M,L,XL"
09371617,"Mid-green#527#S,M"
01165513,"Blue / Green#445#S,M"
01058458,Blue grey#819#S
02157225,"Light beige#721#XS,S,M"
04813841,"Black#800#S,M,L"
05039388,"Brown#700#S,M|Black#800#M"
01058467,"mink brown#472#S,M|Grey marl#803#S,M,L|Black#800#S"
05039813,"Leopard#051#S,M,L"
00264670,"Duck blue#442#S,M|Black#800#S"
00085633,Russet#670#S
00858800,"Olive green#515#S,M"
09333331,"Dark pink#664#XS,S,M"
03152320,"White#250#XS,S,M"
05039397,"Light brown#730#S,M"
02034610,"Grey#802#XS,S,M"
03152233,"Charcoal grey#818#XS,S,L"
07969223,"Blue#407#XS,S,M,L,XL"
02731298,"Black#800#XS,S,M,L,XL"
03152249,"Black#800#XS,S,M,L"
02157254,"Black#800#XS,S,M,L,XL"
09965281,"Green / Blue#518#XS,S,M,XL"
09920948,"Black#800#XS,S,M,L,XL"
05252281,Navy blue#401#XS
05644940,"Green#500#S,M,L"
03067210,"Black#800#XS,S,M,L"
09482262,"Black#800#XS,S,M,L"
09139222,Multicoloured#330#M
03067237,"Black#800#XS,S"
08841460,"Black#800#XS,S|Red#600#XS,S"
08625548,"Black#800#S,M"
02142176,Navy blue#401#XS
09580072,"Black#800#XS,S,M,XL"
09145276,"Multicoloured#330#XS,S,M,L"
05063840,"Dark grey#922#S,M,L"
09783594,"Black#800#S,M,L"
09667592,"Black / Silver#033#XS,S,M,L"
03067380,"Dark burgundy#684#XS,S,M,L"
09668581,"pink gold#870#XS,S,M,XL"
05063823,"Black#800#S,M,L"
09665838,Black#800#XS
00881353,Black#800#XS
04043185,"Black#800#S,M"
09565976,"Black#800#XS,S,M,L"
02298183,"Multicoloured#330#XS,S,M"
09763072,"Black#800#L,XL"
09878160,"Red#600#XS,S,M"
09588620,"Black#800#XS,S,L"
09310255,Multicoloured#330#M
08686635,"Black#800#S,M,L|Black / White#084#S,M|Brown / Ecru#087#S"
05070633,White#250#XS
00264534,"Black#800#S,M,L"
05039279,Zebra#037#S
04772381,"Moss green#502#XS,S,M|Black#800#S"
04333243,"Burgundy#681#S,M,L"
02142269,"Navy blue#401#XS,M,L,XL"
08795653,"Ecru#712#XS,S,M"
08653754,Pink#620#S
00106620,"Black#800#XS,M,L"
09598230,"Navy blue#401#S,M"
09251949,"Black#800#XS,S"
09281463,"Brown#700#S,M,L"
03897166,Multicoloured#330#L
03897165,"Black#800#XS,S,M"
08372323,"Khaki#505#XS,M"
08818528,"Ecru#712#S,M,L"
00881372,Oyster-white#251#XS
03067220,"Black#800#XS,S,M,L,XL"
05584697,"Black#800#S|Burgundy#681#S,M|Ecru#712#XS,S,M"
05039393,"Brown#700#M,L|Black#800#S,M,L|Dark anthracite#898#S,M,L"
09128560,"Maroon#605#M,L"
04764245,"Ivory#741#XS,S,L,XL|Black#800#XS,S,M,L"
01058940,"Black#800#M,L,XL|Light sand#752#S,M"
00264530,"Burgundy#681#S|Brown#700#S,M|Black#800#S,M,L"
03736263,"Grey#802#XS,S,M,XL"
05070628,"Black#800#M,L"
09882604,"Beige-pink#942#XS,S,M,L"
02731308,"Black#800#XS,S,M,L,XL"
08246249,"Blue#407#XS,M"
09532552,Black#800#XS
03067230,"Black#800#XS,S,M,L"
04764287,"Black#800#S,M,L,XL"
03859126,"Black#800#XS,S,L"
02142201,White#250#L
01889157,"Mid-blue#427#XS,S,M,L,XL"
09860188,"Black#800#XS,S,M,L,XL"
00089617,"Black#800#XS,S,M,L,XL"
02180226,Dark brown#716#M
09388072,Mid-camel#756#M
04764271,"Brown#700#XS,S,M,L"
00264533,"Black#800#S,M,L"
04772268,Petrol blue#409#L
08351238,"Black / Ecru#093#S,M,XL"
